price,address,beds,baths,sqft
1349000,"2103 Argonne St #B, Houston, TX 77019",4,5,3576
1099000,"2301 Woodhead St, Houston, TX 77019",3,4,3320
219900,"2100 Welch St APT C113, Houston, TX 77019",1,1,926
599700,"3333 Allen Pkwy UNIT 1101, Houston, TX 77019",2,3,1738
3385000,"2207 Stanmore Dr, Houston, TX 77019",4,5,4042
2650000,"2133 Inwood Dr, Houston, TX 77019",3,5,4390
635000,"3333 Allen Pkwy UNIT 607, Houston, TX 77019",2,3,1749
1050000,"3333 Allen Pkwy UNIT 2505, Houston, TX 77019",2,3,2196
970000,"3612 W Clay St, Houston, TX 77019",3,5,3632
1499000,"1931 W Lamar St, Houston, TX 77019",3,5,4218
4175000,"2124 Looscan Ln, Houston, TX 77019",4,8,7278
1599000,"2415 Mimosa Dr, Houston, TX 77019",3,4,3823
729900,"1119 Waugh Dr, Houston, TX 77019",1,1,2660
1499000,"2121 Kirby Dr UNIT 3NW, Houston, TX 77019",2,3,3026
750000,"2021 Driscoll St, Houston, TX 77019",3,4,3424
740000,"907 W Gray St, Houston, TX 77019",1,--,2808
1695000,"2121 Kirby Dr UNIT 14SE, Houston, TX 77019",2,3,3125
2600000,"929 Kirby Dr, Houston, TX 77019",4,6,5002
1060000,"1518 W Clay St, Houston, TX 77019",3,4,3575
1025000,"2522 Kingston St, Houston, TX 77019",3,4,3254
1075000,"3333 Allen Pkwy UNIT 1905, Houston, TX 77019",2,3,2196
599000,"815 W Gray St, Houston, TX 77019",--,--,1617
1225000,"2211 Woodhead St, Houston, TX 77019",4,4,4002
1150000,"3331 Damico St #405, Houston, TX 77019",2,3,2430
879999,"1811 Mcduffie St, Houston, TX 77019",4,4,3406
689000,"1212 Crocker St, Houston, TX 77019",3,3,2577
639000,"1025 S Shepherd Dr UNIT 204, Houston, TX 77019",2,2,2552
879000,"2006 Elmen St, Houston, TX 77019",8,4,3776
435000,"2121 W Kirby Dr #1MSW, Houston, TX 77019",1,1,800
2950000,"2121 Kirby Dr UNIT 21S, Houston, TX 77019",1,2,4167
4750000,"2121 Kirby Dr UNIT 19W, Houston, TX 77019",3,6,6895
4795000,"2240 Mimosa Dr PENTHOUSE 8E, Houston, TX 77019",3,4,3500
4950000,"2240 Mimosa Dr PENTHOUSE 8W, Houston, TX 77019",3,4,3987
639000,"3333 Allen Pkwy UNIT 509, Houston, TX 77019",2,3,1739
4315000,"2240 Mimosa Dr PENTHOUSE 7W, Houston, TX 77019",3,4,4346
2395000,"2325 Welch St #602, Houston, TX 77019",3,4,3300
194995,"1408 Valentine St, Houston, TX 77019","2,210 sqft lot",- Lot / Land for sale,
5495000,"2209 Looscan Ln, Houston, TX 77019",4,7,7608
2150000,"2325 Welch St #405, Houston, TX 77019",3,4,3237
2890000,"2240 Mimosa Dr #5E, Houston, TX 77019",3,4,3218
1899000,"2325 Welch St #704, Houston, TX 77019",2,3,2381
2150000,"2240 Mimosa Dr #4W, Houston, TX 77019",3,3,2464
2745000,"2325 Welch St #601, Houston, TX 77019",3,4,3269
1595000,"2240 Mimosa Dr #3N, Houston, TX 77019",3,3,2333
8900000,"5 Briarwood Ct, Houston, TX 77019",2 acres lot,- Lot / Land for sale,
349900,"1205 Oneil St, Houston, TX 77019","4,030 sqft lot",- Lot / Land for sale,
1275000,"1226 W Pierce St #6, Houston, TX 77019",--,--,4586
390000,"1507 Robin St, Houston, TX 77019","4,899 sqft lot",- Lot / Land for sale,
600000,"1815 W Clay St, Houston, TX 77019","5,000 sqft lot",- Lot / Land for sale,
1450000,"3115 Locke Ln, Houston, TX 77019","8,645 sqft lot",- Lot / Land for sale,
1390000,"2151 Stanmore Dr, Houston, TX 77019","7,813 sqft lot",- Lot / Land for sale,
1195000,"3708 Newhouse St, Houston, TX 77019","10,000 sqft lot",- Lot / Land for sale,
550000,"1016 Ruthven St LOT A, Houston, TX 77019","5,000 sqft lot",- Lot / Land for sale,
500000,"1318 Andrews St, Houston, TX 77019","5,000 sqft lot",- Lot / Land for sale,
830000,"110 W Gray St, Houston, TX 77019","9,500 sqft lot",- Lot / Land for sale,
937500,"1415 Waugh Dr, Houston, TX 77019","7,500 sqft lot",- Lot / Land for sale,
