price,address,beds,baths,sqft
"$1,499,000","2121 Kirby Dr Unit 3NW, Houston, TX 77019",2 Beds,2.5 Baths,"3,026 Sq. Ft."
"$1,499,900","1805 Mcduffie St, Houston, TX 77019",3 Beds,3.5 Baths,"4,128 Sq. Ft."
"$1,499,900","1907 Revere St, Houston, TX 77019",3 Beds,3.5 Baths,"4,121 Sq. Ft."
"$1,595,000","2240 Mimosa Dr Unit 3N, Houston, TX 77019",3 Beds,3 Baths,"2,333 Sq. Ft."
"$1,600,000","1610 Hazard St, Houston, TX 77019",5 Beds,5 Baths,"4,407 Sq. Ft."
"$1,640,000","2239 Mimosa Dr, Houston, TX 77019",4 Beds,4.5 Baths,"5,067 Sq. Ft."
"$1,679,999","1609 Hazard St, Houston, TX 77019",4 Beds,3.5 Baths,"4,308 Sq. Ft."
"$1,699,000","2216 Woodhead St, Houston, TX 77019",4 Beds,5 Baths,"4,499 Sq. Ft."
"$1,725,000","1617 Woodhead St, Houston, TX 77019",3 Beds,3.5 Baths,"4,780 Sq. Ft."
"$1,749,000","2215 Driscoll St, Houston, TX 77019",4 Beds,4.5 Baths,"4,400 Sq. Ft."
"$1,749,000","2018 Brun St, Houston, TX 77019",4 Beds,6 Baths,"5,320 Sq. Ft."
"$1,750,000","20 Tiel Way, Houston, TX 77019",—Beds,—Baths,—Sq. Ft.
"$1,800,000","2109 Morse St, Houston, TX 77019",4 Beds,4.5 Baths,"4,507 Sq. Ft."
"$1,899,000","2325 Welch #704, Houston, TX 77019",2 Beds,2.5 Baths,"2,381 Sq. Ft."
"$1,995,000","1607 Elmen St, Houston, TX 77019",3 Beds,3.5 Baths,"5,042 Sq. Ft."
"$1,995,000","2025 Mcduffie St, Houston, TX 77019",4 Beds,5.5 Baths,"7,405 Sq. Ft."
"$1,995,000","1606 Morse St, Houston, TX 77019",3 Beds,4.5 Baths,"5,028 Sq. Ft."
"$1,995,000","2406 Mimosa Dr, Houston, TX 77019",—Beds,—Baths,—Sq. Ft.
